nohup: ignoring input
Use GPU: 1 for training
=> creating model 'mobilenet_v2'
Use GPU: 0 for training
=> creating model 'mobilenet_v2'
Epoch: [0][   90/10010]	Time  0.156 ( 0.265)	Data  0.000 ( 0.109)	Loss 6.8388e+00 (7.0746e+00)	Acc@1   1.56 (  0.34)	Acc@5   1.56 (  0.93)
Epoch: [0][  100/10010]	Time  0.154 ( 0.254)	Data  0.000 ( 0.099)	Loss 6.8995e+00 (7.0604e+00)	Acc@1   0.00 (  0.32)	Acc@5   3.12 (  0.96)
Epoch: [0][  110/10010]	Time  0.158 ( 0.245)	Data  0.000 ( 0.091)	Loss 6.8194e+00 (7.0449e+00)	Acc@1   1.56 (  0.35)	Acc@5   4.69 (  1.01)
Epoch: [0][  120/10010]	Time  0.158 ( 0.238)	Data  0.000 ( 0.084)	Loss 6.7364e+00 (7.0313e+00)	Acc@1   1.56 (  0.36)	Acc@5   3.12 (  1.02)
Epoch: [0][  130/10010]	Time  0.155 ( 0.232)	Data  0.000 ( 0.078)	Loss 6.7657e+00 (7.0158e+00)	Acc@1   0.00 (  0.36)	Acc@5   0.00 (  1.06)
Epoch: [0][  140/10010]	Time  0.160 ( 0.227)	Data  0.000 ( 0.073)	Loss 6.9023e+00 (7.0022e+00)	Acc@1   0.00 (  0.37)	Acc@5   1.56 (  1.09)
Epoch: [0][  150/10010]	Time  0.158 ( 0.222)	Data  0.000 ( 0.069)	Loss 6.6357e+00 (6.9875e+00)	Acc@1   0.00 (  0.38)	Acc@5   3.12 (  1.18)
Epoch: [0][  160/10010]	Time  0.155 ( 0.218)	Data  0.000 ( 0.065)	Loss 6.8651e+00 (6.9753e+00)	Acc@1   0.00 (  0.37)	Acc@5   0.00 (  1.16)
Epoch: [0][  170/10010]	Time  0.159 ( 0.215)	Data  0.000 ( 0.062)	Loss 6.7648e+00 (6.9607e+00)	Acc@1   0.00 (  0.36)	Acc@5   1.56 (  1.21)
Epoch: [0][  180/10010]	Time  0.161 ( 0.212)	Data  0.000 ( 0.059)	Loss 6.6763e+00 (6.9489e+00)	Acc@1   1.56 (  0.36)	Acc@5   3.12 (  1.26)
Epoch: [0][  190/10010]	Time  0.160 ( 0.209)	Data  0.000 ( 0.056)	Loss 6.6488e+00 (6.9366e+00)	Acc@1   0.00 (  0.35)	Acc@5   3.12 (  1.30)
Epoch: [0][  200/10010]	Time  0.160 ( 0.207)	Data  0.000 ( 0.053)	Loss 6.7856e+00 (6.9259e+00)	Acc@1   0.00 (  0.35)	Acc@5   0.00 (  1.32)
Epoch: [0][  210/10010]	Time  0.160 ( 0.204)	Data  0.000 ( 0.051)	Loss 6.7182e+00 (6.9163e+00)	Acc@1   0.00 (  0.36)	Acc@5   1.56 (  1.33)
Epoch: [0][  220/10010]	Time  0.160 ( 0.202)	Data  0.000 ( 0.049)	Loss 6.6783e+00 (6.9046e+00)	Acc@1   1.56 (  0.37)	Acc@5   3.12 (  1.41)
Epoch: [0][  230/10010]	Time  0.164 ( 0.201)	Data  0.000 ( 0.047)	Loss 6.4826e+00 (6.8914e+00)	Acc@1   1.56 (  0.40)	Acc@5   4.69 (  1.47)
Epoch: [0][  240/10010]	Time  0.160 ( 0.199)	Data  0.000 ( 0.046)	Loss 6.6127e+00 (6.8815e+00)	Acc@1   3.12 (  0.41)	Acc@5   4.69 (  1.50)
Epoch: [0][  250/10010]	Time  0.160 ( 0.197)	Data  0.000 ( 0.044)	Loss 6.6809e+00 (6.8705e+00)	Acc@1   0.00 (  0.40)	Acc@5   4.69 (  1.56)
Epoch: [0][  260/10010]	Time  0.160 ( 0.196)	Data  0.000 ( 0.043)	Loss 6.7555e+00 (6.8643e+00)	Acc@1   1.56 (  0.40)	Acc@5   3.12 (  1.57)
Epoch: [0][  270/10010]	Time  0.160 ( 0.195)	Data  0.000 ( 0.041)	Loss 6.4918e+00 (6.8553e+00)	Acc@1   1.56 (  0.43)	Acc@5   1.56 (  1.61)
Epoch: [0][  280/10010]	Time  0.162 ( 0.193)	Data  0.000 ( 0.040)	Loss 6.4954e+00 (6.8465e+00)	Acc@1   0.00 (  0.42)	Acc@5   6.25 (  1.62)
